energy_cost,incremental_cycle_time_avg,incremental_energy_cost,incremental_items_avg,incremental_power,incremental_power_avg,power_var,cycle_var,session,machine_state,part_program
1.28135259,7.091622807023684,2964.5799923340023,1.4836842105263173,5917325.334000015,1557.1908773684231,263.36800120053397,0.016458534164838935,1MO,1,0
1.24379262,7.093703411389108,2965.8237849540023,1.484346224677718,5919807.954000015,1557.4343472770345,225.19560431581678,0.016445547420962964,1MO,1,0
1.20471963,7.095782921275645,2967.0285045840023,1.4850078905839046,5922212.584000015,1557.6571762230426,188.68042194021913,0.016432574336559123,1MO,1,0
1.21839693,7.097861337546674,2968.2469015140023,1.4856692085195913,5924644.514000014,1557.8870665264285,200.88115949384323,0.016419614893673322,1MO,1,0
1.20529077,7.0999386610646695,2969.452192284002,1.4863301787592023,5927050.284000014,1558.1099589905382,188.88736727764524,0.016406669074379782,1MO,1,0
1.2400251,7.102014892691196,2970.692217384002,1.486990801576874,5929525.384000014,1558.3509550591345,220.87485187910352,0.016393736860780987,1MO,1,0
1.1077911599999999,7.105403748473464,2971.800008544002,1.487388334209145,5931736.544000014,1558.5224760903855,111.91164939959866,0.04368644574090442,1MO,1,-1
0.9995651400000001,7.103537343496192,2972.799573684002,1.4869976359338075,5933731.684000013,1558.6371641712653,50.04852263896175,0.013254594901614113,1MO,2,0
2.1789892799999997,7.101671918773635,2974.9785629640023,1.4866071428571443,5938080.964000014,1559.370001050422,2044.0120278988536,0.013244155473187498,1MO,2,0
1.0425258899999998,7.099807473533736,2976.0210888540023,1.4862168548175387,5940161.854000013,1559.5069188763473,71.36789637227443,0.0132337270047901,1MO,2,0
0.7682835,7.09794400700525,2976.7893723540024,1.4858267716535447,5941695.354000013,1559.5000929133876,0.17742908963380213,0.01322330948204245,1MO,2,0
0.6254734500000001,7.096081518417739,2977.414845804002,1.4854368932038848,5942943.8040000135,1559.4184738913689,25.37428280092546,0.01321290289058772,1MO,2,0
0.5475529200000001,7.094220007001574,2977.962398724002,1.4850472193074515,5944036.724000013,1559.2960975865706,57.05841143758613,0.013202507216091662,1MO,2,0
0.52640571,7.092359471987937,2978.488804434002,1.484657749803306,5945087.434000013,1559.1627154471562,67.80072484804268,0.013192122444242593,1MO,2,0
0.492549132,7.09049991260881,2978.981353566002,1.484268484530678,5946070.566000014,1559.0116848453085,86.95265113202201,0.013181748560751322,1MO,2,0
0.49595442900000003,7.088641328096986,2979.477307995002,1.483879423328966,5947060.495000013,1558.8625150720857,84.84543763362494,0.013171385551351139,1MO,2,0
0.5003967960000001,7.0867837176860595,2979.977704791002,1.4834905660377373,5948059.291000013,1558.715747117402,82.15674088365185,0.013161033401797759,1MO,2,0
0.5016513,7.084927080610427,2980.479356091002,1.4831019124967266,5949060.591000013,1558.5697120775494,81.35958396620248,0.013150692097869267,1MO,2,0
0.5102584800000001,7.083071416105291,2980.989614571002,1.482713462545837,5950079.0710000135,1558.4282532739674,76.36042855254279,0.013140361625366111,1MO,2,0
0.52474239,7.081216723406651,2981.5143569610022,1.482325216025139,5951126.461000013,1558.294438596493,68.34861099177729,0.013130041970111032,1MO,2,0
0.5463405,7.079363001751309,2982.0606974610023,1.4819371727748705,5952216.961000013,1558.1719793193736,57.255780167670316,0.013119733117949032,1MO,2,0
0.53107002,7.077510250376865,2982.591767481002,1.4815493326354372,5953276.981000013,1558.0416071708994,64.9111544645605,0.013109435054747343,1MO,2,0
0.52629048,7.075658468521717,2983.1180579610023,1.4811616954474112,5954327.461000013,1557.9088071690232,67.36891531789057,0.013099147766395368,1MO,2,0
0.5323575899999999,7.0738076554250595,2983.6504155510024,1.4807742610515315,5955390.051000013,1557.7792443107523,64.14135173451584,0.01308887123880465,1MO,2,0
0.52069431,7.071957810326883,2984.1711098610026,1.4803870292887042,5956429.361000013,1557.643661349374,70.2588348556087,0.01307860545790884,1MO,2,0
0.54595974,7.070108932467974,2984.7170696010025,1.4800000000000015,5957519.101000013,1557.5213335947728,57.20768001560892,0.013068350409663644,1MO,2,0
0.53754294,7.068261021089912,2985.2546125410026,1.479613173026661,5958592.041000013,1557.394678776792,61.34248191027828,0.013058106080046785,1MO,2,0
0.51550896,7.066414075435067,2985.7701215010024,1.4792265482100877,5959621.001000013,1557.2565981186326,72.92848068558139,0.013047872455057966,1MO,2,0
0.52551894,7.064568094746605,2986.2956404410024,1.478840125391851,5960669.941000014,1557.1238090386644,67.46363212357514,0.013037649520718828,1MO,2,0
0.52019832,7.062723078268478,2986.8158387610024,1.4784539044136864,5961708.261000014,1556.988315748239,70.25772310292899,0.013027437263072908,1MO,2,0
0.5318716199999999,7.060879025245431,2987.3477103810023,1.4780678851174949,5962769.881000014,1556.8589767624042,64.03698279495383,0.013017235668185606,1MO,2,0
0.52748787,7.059035934922997,2987.8751982510025,1.4776820673453421,5963822.751000014,1556.7274212999237,66.26789376116129,0.01300704472214414,1MO,2,0
0.53247282,7.057193806547495,2988.4076710710024,1.4772964509394586,5964885.571000014,1556.598531054282,63.62662780013688,0.012996864411057496,1MO,2,0
0.53057403,7.055352639366032,2988.9382451010024,1.47691103574224,5965944.601000015,1556.4687192799395,64.5565560758848,0.012986694721056416,1MO,2,0
0.52400091,7.0535124326265,2989.462246011002,1.4765258215962456,5966990.511000015,1556.3355532081398,67.95363728947196,0.012976535638293325,1MO,2,0
0.5137955399999999,7.051673185577576,2989.9760415510023,1.4761408083441996,5968016.051000015,1556.1971449804455,73.42816310790029,0.012966387148942318,1MO,2,0
